branch,order_id,order_dt,category,menu,sweet_level,price,cost,qty,revenue,gross_profit,gross_margin,trans_type,payment,gender,membership,member_id
alpha,alpha000088,2023-01-03 09:39:00,bakery,Croissant,,85,46.75000000000001,3,255,114.74999999999996,0.4499999999999999,to go,mobile,M,False,
beta,beta000079,2023-01-03 11:48:00,tea,Jasmine Tea,0.0,55,11.0,1,55,44.0,0.8,eat in,mobile,M,True,61.0
beta,beta000172,2023-01-04 12:21:00,coffee,Mocha Cold Brew,1.0,165,74.25,1,165,90.75,0.55,eat in,mobile,F,True,58.0
beta,beta000215,2023-01-04 15:39:00,tea,Jasmine Tea,0.5,55,11.0,1,55,44.0,0.8,delivery,mobile,F,True,885.0
alpha,alpha000210,2023-01-04 17:27:00,bakery,Sandwich,,80,28.0,3,240,156.0,0.65,eat in,credit card,M,False,
alpha,alpha000212,2023-01-04 17:32:00,coffee,Espresso,0.25,55,19.25,1,55,35.75,0.65,to go,mobile,F,False,
beta,beta000277,2023-01-05 07:16:00,bakery,Donut,,40,12.0,3,120,84.0,0.7,eat in,mobile,M,True,45.0
beta,beta000385,2023-01-05 15:06:00,bakery,Muffin,,60,27.0,2,120,66.0,0.55,eat in,mobile,F,False,
alpha,alpha000611,2023-01-09 11:13:00,bakery,Cheesecake,,120,72.0,2,240,96.0,0.4,to go,credit card,M,False,
alpha,alpha000625,2023-01-09 13:20:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,delivery,mobile,F,False,
alpha,alpha000679,2023-01-09 16:59:00,coffee,Americano,0.25,45,13.5,1,45,31.5,0.7,eat in,credit card,F,False,
alpha,alpha000742,2023-01-10 11:38:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,eat in,credit card,F,False,
beta,beta001113,2023-01-10 13:51:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,eat in,mobile,F,True,20.0
alpha,alpha000793,2023-01-10 16:01:00,coffee,Latte,0.5,65,26.0,6,390,234.0,0.6,to go,credit card,F,False,
beta,beta001156,2023-01-10 17:09:00,bakery,Muffin,,60,27.0,3,180,99.0,0.55,delivery,mobile,F,True,17.0
alpha,alpha000808,2023-01-10 17:11:00,coffee,Cappuccino,0.5,75,26.25,2,150,97.5,0.65,eat in,mobile,F,False,
beta,beta001183,2023-01-10 19:22:00,tea,Yuzu Tea,0.25,70,24.5,1,70,45.5,0.65,eat in,mobile,F,False,
beta,beta001316,2023-01-11 16:13:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,to go,mobile,F,True,886.0
beta,beta001474,2023-01-12 16:56:00,bakery,Sandwich,,80,28.0,1,80,52.0,0.65,delivery,mobile,F,True,17.0
alpha,alpha001148,2023-01-13 20:01:00,bakery,Donut,,40,12.0,3,120,84.0,0.7,eat in,mobile,M,False,
alpha,alpha001172,2023-01-14 15:32:00,coffee,Iced Latte,0.5,65,19.5,3,195,136.5,0.7,eat in,credit card,F,True,887.0
beta,beta001764,2023-01-15 10:30:00,tea,Bubble Tea,0.25,70,17.5,1,70,52.5,0.75,to go,mobile,F,True,879.0
alpha,alpha001250,2023-01-16 11:55:00,smoothie,Mango Smoothie,0.5,90,31.5,1,90,58.5,0.65,to go,gift card,M,True,839.0
alpha,alpha001292,2023-01-16 15:14:00,smoothie,Kiwi Smoothie,1.0,90,40.5,6,540,297.0,0.55,to go,mobile,F,False,
beta,beta002000,2023-01-17 07:26:00,coffee,Mocha,0.5,70,28.0,1,70,42.0,0.6,delivery,cash,M,True,846.0
alpha,alpha001597,2023-01-19 10:08:00,coffee,Mocha,0.75,70,28.0,1,70,42.0,0.6,eat in,credit card,M,False,
alpha,alpha001704,2023-01-20 08:18:00,coffee,Espresso,0.5,55,19.25,3,165,107.25,0.65,to go,cash,F,True,10.0
beta,beta002760,2023-01-21 13:03:00,bakery,Cheesecake,,120,72.0,3,360,144.0,0.4,to go,credit card,F,True,60.0
alpha,alpha001875,2023-01-21 16:47:00,smoothie,Strawberry Smoothie,0.25,85,25.5,2,170,119.0,0.7,eat in,credit card,M,False,
beta,beta002885,2023-01-23 08:09:00,bakery,Cookie,,85,29.75,3,255,165.75,0.65,eat in,credit card,F,True,58.0
alpha,alpha002012,2023-01-23 15:38:00,bakery,Donut,,40,12.0,1,40,28.0,0.7,to go,credit card,M,True,896.0
beta,beta003008,2023-01-23 15:39:00,tea,Bubble Tea,0.5,70,17.5,1,70,52.5,0.75,to go,mobile,F,True,8.0
beta,beta003131,2023-01-24 12:42:00,coffee,Mocha,0.5,70,28.0,1,70,42.0,0.6,delivery,mobile,M,True,1.0
alpha,alpha002127,2023-01-24 15:01:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,to go,credit card,F,True,879.0
alpha,alpha002213,2023-01-25 10:15:00,smoothie,Mango Smoothie,0.75,90,31.5,1,90,58.5,0.65,to go,mobile,M,False,
beta,beta003325,2023-01-25 14:22:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,eat in,mobile,M,True,7.0
beta,beta003377,2023-01-25 18:08:00,tea,Bubble Tea,0.25,70,17.5,1,70,52.5,0.75,to go,mobile,M,True,1.0
beta,beta003393,2023-01-25 21:28:00,smoothie,Mango Smoothie,0.5,90,31.5,3,270,175.5,0.65,eat in,mobile,M,True,40.0
beta,beta003417,2023-01-26 09:50:00,tea,Jasmine Tea,0.5,55,11.0,1,55,44.0,0.8,eat in,mobile,M,True,867.0
beta,beta003478,2023-01-26 14:53:00,bakery,Donut,,40,12.0,1,40,28.0,0.7,to go,mobile,F,True,33.0
alpha,alpha002477,2023-01-27 18:30:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,to go,cash,M,False,
beta,beta004004,2023-01-30 11:04:00,smoothie,Mango Smoothie,0.25,90,31.5,2,180,117.0,0.65,eat in,mobile,F,True,59.0
