age,monthly_income,daily_internet_hours,smartphone_usage_years,social_media_hours,online_payment_trust_score,tech_savvy_score,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,discount_sensitivity,return_frequency,avg_delivery_days,delivery_fee_sensitivity,free_return_importance,product_availability_online,impulse_buying_score,need_touch_feel_score,brand_loyalty_score,environmental_awareness,time_pressure_level,gender,city_tier,shopping_preference
59,140744,7.1,5,2.2,2,8,23,10,35002,53874,5,4,5,6,3,7,3,7,4,6,10,Female,Tier 3,Hybrid
33,153422,7.5,9,5.7,4,10,32,7,97864,38145,4,7,2,4,9,8,9,2,1,8,6,Other,Tier 2,Online
61,115291,6.5,1,0.3,7,6,26,4,88714,53292,10,3,2,1,7,8,4,4,5,6,8,Female,Tier 1,Store
45,119675,10.3,9,2.9,7,9,20,11,70627,105240,2,4,5,3,10,4,5,10,7,9,7,Other,Tier 2,Store
18,100306,9.3,2,5.2,7,9,27,8,81040,94556,6,6,5,6,4,3,7,7,2,7,3,Other,Tier 3,Hybrid
65,24548,6.1,7,4.8,4,6,15,11,900,500,9,0,4,9,6,3,7,8,9,9,6,Female,Tier 3,Store
28,168279,10.3,11,6.0,3,9,31,10,137481,55466,6,2,3,7,8,8,10,8,4,9,4,Male,Tier 2,Hybrid
35,140268,9.2,11,5.9,10,10,32,10,90343,79006,5,8,5,8,7,4,7,6,3,7,8,Female,Tier 3,Hybrid
58,25696,4.9,7,0.3,3,9,6,12,32752,12746,7,2,5,6,1,4,3,7,7,5,4,Male,Tier 3,Store
79,67427,4.6,8,1.4,7,2,1,18,21810,91940,3,6,5,4,5,4,5,10,6,2,6,Male,Tier 3,Store
49,69491,6.7,1,4.2,8,9,20,14,22657,94136,6,7,4,6,3,9,8,6,10,7,5,Female,Tier 2,Hybrid
31,81611,8.9,10,5.2,7,10,30,12,75065,57954,5,4,3,7,5,7,10,7,1,3,5,Other,Tier 2,Hybrid
45,174329,7.0,8,3.1,7,6,12,6,13282,44474,5,1,1,4,8,10,7,1,6,5,2,Male,Tier 1,Online
30,125786,9.6,5,3.9,9,9,27,7,96808,19977,7,8,7,9,10,5,9,2,5,4,9,Male,Tier 3,Online
44,85368,7.9,8,3.1,8,9,30,12,71965,54115,6,4,5,6,4,6,7,4,3,8,8,Female,Tier 3,Hybrid
41,146127,6.1,5,4.7,2,8,49,1,150000,74618,7,9,5,9,3,6,8,5,3,9,7,Other,Tier 1,Hybrid
39,110398,6.4,6,2.7,4,10,45,7,139969,75805,4,3,5,9,10,8,8,4,7,8,9,Other,Tier 2,Hybrid
44,138240,8.3,8,3.5,3,6,26,5,98992,26935,8,8,5,4,6,9,5,9,4,7,5,Other,Tier 3,Store
65,120276,5.2,1,0.5,3,4,20,18,42448,137945,2,3,1,6,8,3,8,9,6,5,3,Male,Tier 1,Store
65,15000,5.0,3,3.9,7,6,15,12,40019,78117,7,8,7,8,5,5,8,9,7,9,3,Female,Tier 3,Store
37,158813,7.7,6,4.6,5,8,4,19,51266,94263,4,1,7,5,9,6,8,7,4,8,5,Female,Tier 3,Store
34,75333,10.6,6,4.6,4,10,36,0,77624,53128,9,7,4,6,6,8,10,9,5,6,6,Male,Tier 3,Online
58,103442,4.7,8,3.9,2,5,10,13,26805,97732,5,0,2,3,10,3,9,6,5,1,2,Male,Tier 1,Store
37,166407,11.7,14,5.4,8,10,37,5,99213,67413,7,6,6,7,4,6,10,5,3,9,2,Other,Tier 3,Online
53,180809,6.8,7,1.1,5,8,39,7,142587,85934,3,2,4,6,9,8,4,10,10,5,8,Female,Tier 1,Hybrid
25,15000,8.9,13,5.0,6,10,48,6,78353,12817,9,9,5,10,8,6,10,4,6,5,6,Other,Tier 2,Online
64,101192,5.1,3,1.1,2,5,16,3,21681,24903,5,4,7,4,6,6,2,6,6,6,5,Other,Tier 3,Store
42,78978,6.5,6,6.0,7,10,34,8,116602,69514,7,9,4,5,6,6,10,5,4,5,4,Other,Tier 2,Hybrid
65,71631,4.1,4,1.3,5,7,6,10,14279,126258,7,3,4,5,5,6,7,7,8,6,3,Female,Tier 2,Store
33,113234,9.9,9,5.3,7,10,48,3,141081,41706,6,9,1,5,9,8,10,4,6,4,2,Other,Tier 1,Hybrid
41,104373,4.2,12,2.1,10,7,4,8,900,68644,7,2,4,9,4,9,7,9,6,4,6,Other,Tier 3,Store
43,114457,6.8,3,3.3,7,10,30,5,92378,86583,4,5,3,8,7,8,5,8,8,10,9,Female,Tier 1,Store
53,63478,8.1,6,3.5,7,6,21,5,76317,6532,7,5,3,5,4,4,8,5,8,5,4,Female,Tier 3,Store
63,110850,3.4,4,3.5,3,3,0,15,45965,92554,5,2,3,7,2,5,8,10,9,7,8,Other,Tier 2,Store
39,149966,5.3,12,5.6,5,9,29,7,115133,59182,5,6,5,4,2,3,10,5,3,10,8,Male,Tier 1,Store
31,94935,11.8,8,6.0,6,10,42,4,90492,25910,8,9,3,5,5,8,10,5,6,8,5,Male,Tier 2,Online
18,144569,5.7,1,1.9,3,10,29,5,120716,62195,8,2,5,9,4,7,4,1,6,8,4,Female,Tier 2,Hybrid
55,146017,5.9,4,3.6,5,5,23,13,23731,12975,4,3,3,9,7,5,6,8,5,6,10,Female,Tier 2,Store
59,82339,7.5,1,3.5,10,8,44,5,74332,52071,6,5,3,8,7,8,7,6,1,4,5,Female,Tier 2,Online
56,110203,8.1,8,3.2,9,8,32,1,58383,70794,4,7,2,4,4,9,7,4,5,3,5,Female,Tier 2,Online
66,141077,1.3,6,0.6,3,5,6,4,46211,29121,10,4,6,4,3,4,8,5,4,5,5,Female,Tier 1,Store
49,151275,5.5,6,1.9,8,6,11,15,66111,127526,4,6,2,3,3,10,6,6,4,9,5,Male,Tier 2,Hybrid
45,145991,10.2,14,3.9,8,9,44,0,119904,35816,7,5,3,10,7,7,6,2,3,7,7,Male,Tier 1,Online
41,84614,5.1,6,4.6,6,10,34,11,105172,59597,6,6,3,7,8,4,6,4,4,10,7,Male,Tier 3,Store
42,220441,10.1,10,4.5,5,7,32,6,132910,109024,4,5,2,5,9,8,9,7,6,7,4,Female,Tier 1,Store
68,58349,2.9,7,2.4,7,5,16,9,80749,25475,6,3,5,6,8,5,8,6,2,8,5,Male,Tier 1,Store
18,93055,10.4,7,5.0,6,10,47,9,104886,90705,3,6,7,8,5,6,9,6,3,6,2,Other,Tier 3,Hybrid
79,15000,7.5,7,0.5,4,4,15,10,900,500,9,9,3,6,6,2,4,6,10,3,1,Other,Tier 3,Store
65,115928,5.2,12,0.0,4,5,19,11,90095,102898,6,4,4,5,2,3,5,9,3,7,1,Female,Tier 3,Store
58,80129,7.6,7,3.4,8,7,14,8,72403,43414,5,8,4,2,6,4,8,8,6,8,6,Female,Tier 2,Hybrid
47,148667,7.9,13,3.1,7,9,33,10,60120,46883,9,6,2,2,6,5,7,6,4,10,8,Female,Tier 3,Hybrid
59,132388,6.3,14,1.9,5,9,19,11,27503,68820,6,0,6,8,4,7,8,7,4,8,7,Female,Tier 2,Store
75,140564,5.4,2,2.0,6,5,11,19,78796,75357,4,5,3,4,5,3,10,7,7,6,3,Other,Tier 1,Store
57,95152,6.7,3,0.1,5,8,32,8,85170,51802,8,6,6,8,9,6,7,9,7,9,5,Other,Tier 3,Store
62,100370,2.8,8,2.0,4,7,21,9,29522,43672,5,5,5,7,5,1,5,10,6,8,6,Male,Tier 3,Store
69,148065,8.6,6,2.0,2,3,12,15,75590,86562,2,8,4,4,1,4,1,8,7,3,5,Male,Tier 2,Store
56,126536,3.5,4,4.6,5,6,4,16,12309,93312,6,1,3,6,4,4,4,10,8,7,5,Female,Tier 3,Store
36,18239,9.3,7,4.5,6,10,49,8,150000,92821,6,5,4,7,10,10,9,6,5,10,6,Male,Tier 1,Online
18,15023,9.3,8,2.6,7,10,40,3,75664,33280,6,7,5,5,7,7,7,4,4,4,6,Female,Tier 3,Hybrid
35,164664,7.5,9,6.0,8,10,34,4,101572,500,7,6,4,3,10,8,10,3,5,8,7,Male,Tier 1,Hybrid
48,192752,8.4,6,4.6,5,6,17,12,118976,150000,6,6,4,4,7,5,9,5,7,10,8,Male,Tier 2,Hybrid
63,136461,2.2,1,2.1,7,6,8,12,64101,131973,5,0,6,6,6,8,2,7,4,8,8,Other,Tier 3,Store
29,135631,9.9,11,4.9,6,9,31,7,65726,66824,5,5,1,8,4,5,9,3,2,10,8,Male,Tier 1,Online
36,129281,6.7,10,4.2,5,6,14,13,62995,101363,7,7,4,3,7,8,7,6,1,4,5,Male,Tier 1,Store
28,158772,10.4,4,4.7,10,10,34,2,139059,77037,6,0,3,4,9,7,9,3,3,5,2,Other,Tier 1,Online
41,79621,6.5,11,3.5,4,8,27,9,36290,35973,4,5,6,7,7,5,9,6,7,6,9,Male,Tier 2,Store
59,190720,5.5,9,0.4,4,5,20,14,107601,71074,6,5,2,5,7,3,5,5,7,8,5,Male,Tier 1,Store
74,65242,6.3,1,2.9,6,7,26,13,60119,58681,7,7,6,8,4,6,1,6,9,10,4,Other,Tier 3,Hybrid
46,82877,6.8,4,3.4,5,6,9,14,57000,52964,7,2,6,5,4,7,9,7,7,3,8,Female,Tier 3,Store
18,101051,6.1,6,6.0,8,9,20,12,50742,50908,6,0,5,6,5,5,10,3,4,8,4,Male,Tier 1,Hybrid
48,63859,4.8,7,2.9,2,4,0,17,900,17557,9,4,5,2,1,6,4,10,3,6,7,Male,Tier 3,Store
54,109798,7.8,10,2.4,8,10,34,0,51035,500,10,4,3,5,9,3,5,8,5,7,6,Female,Tier 3,Online
37,100674,8.2,12,4.8,7,7,25,6,81623,47213,6,0,2,3,6,4,10,4,6,8,5,Male,Tier 2,Hybrid
62,149373,8.6,3,2.3,3,7,29,12,78262,105761,5,4,4,3,5,5,5,9,8,8,9,Male,Tier 3,Store
46,140379,8.5,8,3.8,3,6,20,7,129103,58359,5,4,4,7,2,5,7,8,4,5,5,Male,Tier 2,Store
79,100722,3.9,10,0.0,3,4,13,10,40792,67674,1,4,4,8,5,6,6,10,8,5,6,Male,Tier 2,Store
77,187199,6.2,7,0.0,4,6,19,5,94906,44970,5,0,1,5,4,4,2,9,6,4,4,Other,Tier 1,Store
46,51713,6.6,6,3.0,2,7,20,11,18363,42400,7,5,4,5,5,8,8,7,1,7,5,Other,Tier 1,Store
49,127217,8.0,4,2.3,8,8,31,3,100350,500,6,4,4,5,7,10,9,2,8,9,10,Male,Tier 1,Hybrid
18,165536,8.6,10,4.9,8,9,39,8,132183,113695,3,7,1,5,6,5,10,7,3,10,6,Male,Tier 2,Online
18,161691,8.2,3,6.0,7,10,49,6,139776,115079,6,6,7,3,10,8,6,8,2,9,7,Other,Tier 3,Online
32,127883,7.8,8,6.0,4,10,47,6,150000,45031,7,9,6,6,7,5,10,2,3,5,7,Female,Tier 3,Hybrid
33,63173,7.5,12,4.1,9,10,29,12,83993,148013,10,3,4,7,4,5,7,5,5,9,4,Female,Tier 1,Online
59,106129,9.5,3,3.7,7,8,38,2,79535,32500,7,5,3,7,7,6,6,5,6,10,5,Female,Tier 2,Online
29,194647,9.8,7,4.0,6,6,35,4,114825,63424,7,5,4,1,4,4,10,4,2,5,3,Female,Tier 1,Hybrid
28,32976,9.9,13,4.6,5,10,46,4,53731,67742,7,7,1,7,10,8,10,6,3,6,6,Other,Tier 2,Hybrid
38,119637,5.9,9,4.1,3,10,33,6,97484,62603,6,5,6,5,7,6,9,6,6,7,10,Male,Tier 3,Hybrid
33,115970,6.8,12,5.7,10,7,29,10,111667,47725,5,3,1,7,4,3,9,5,1,6,10,Male,Tier 1,Hybrid
44,92495,8.5,13,4.5,3,8,32,7,98606,45427,7,8,3,8,9,10,4,5,6,5,7,Female,Tier 1,Store
44,154434,5.3,4,5.4,3,7,22,13,78583,57034,5,4,3,6,8,4,8,5,4,8,5,Female,Tier 3,Store
33,62513,9.3,13,6.0,6,7,23,17,99304,102228,9,6,4,5,6,7,10,4,1,7,8,Female,Tier 3,Hybrid
52,60027,6.2,12,4.8,5,8,30,9,73572,19777,8,0,6,5,4,8,7,4,4,9,7,Female,Tier 2,Store
41,152799,6.8,8,5.3,6,8,34,0,136842,32209,5,3,5,5,6,6,10,6,6,7,10,Other,Tier 1,Store
30,26823,10.9,9,5.7,6,10,35,11,94153,47233,10,9,4,10,7,6,10,4,4,4,10,Other,Tier 3,Hybrid
38,162880,7.4,13,4.5,5,10,38,10,104438,60354,6,9,6,7,8,2,7,9,4,6,4,Other,Tier 3,Online
56,105283,1.8,7,1.5,5,4,0,14,900,91530,2,5,4,4,4,2,6,5,5,2,6,Female,Tier 2,Store
41,148767,8.5,3,6.0,5,10,32,10,108757,78455,6,1,5,3,8,4,7,3,8,10,9,Other,Tier 2,Hybrid
49,174491,6.6,8,2.6,6,8,28,8,131822,44483,8,0,3,1,5,8,4,6,6,8,6,Other,Tier 1,Hybrid
53,105415,7.7,9,2.3,5,9,31,8,140302,86949,10,3,5,4,3,7,6,7,4,7,6,Female,Tier 3,Hybrid
58,125787,3.0,6,2.8,5,6,15,16,55728,62096,5,5,6,6,4,7,6,7,6,7,5,Male,Tier 3,Store
